,	,code_doc,il08_09,vg04_05,fd03_04,la09_10,cg13_14,ja05_06,fj11_12,ec20_11,mb00_12
441,,211_15_110_1,,,,,,-0.9179815304277474,,-0.5363251717379093,
443,,211_15_101_1,,0.04937813535986224,,-1.8508994556201974,,,-0.9357204119168276,,-0.3500828961315189
444,,211_15_001_1,,,,,-0.22389696425971614,,,,
460,,273_6_100_1,,,,,,,,1.6074164304121645,
461,,273_6_110_1,,,,-1.914683584729916,,,1.1978631906322204,,-0.032201021106436946
462,,273_6_111_1,,,,,-0.9022288686906361,0.5056621012524462,,,
463,,273_6_101_1,,,0.9521657076747697,,,,,,
464,,273_6_001_1,-0.0768722543739067,0.8567773757035566,,,,,,,
470,,67_3_100_1,,,,,,,,1.0929184458961467,
471,,67_3_110_1,,,,0.1264085467810788,,,-0.9680474361978738,,-0.48631798542798255
472,,67_3_111_1,,,,,1.1327668446021237,0.4344799196684364,,,
473,,67_3_101_1,,,0.3589007713789555,,,,,,
474,,67_3_001_1,-0.5402118697782755,-1.4920204143871907,,,,,,,
475,,289_14_100_1,,,,,,,,-0.15045168335089604,
476,,289_14_110_1,,,,0.31776093411023454,,,0.9715740206648971,,-0.032201021106436946
477,,289_14_111_1,,,,,-0.32825571878755,-1.0959369843877718,,,
478,,289_14_101_1,,,-0.288297340943751,,,,,,
479,,289_14_001_1,-0.018954802448360588,-0.06072176105064153,,,,,,,
525,,74_4_100_1,,,,,,,,-1.8225701330279536,
526,,74_4_110_1,,,,-2.424956617607665,,,-0.806412314792643,,-1.3491402176389193
527,,74_4_111_1,,,,,-1.0065876232184698,-1.3450746199318055,,,
528,,74_4_101_1,,,-2.0141589738043013,,,,,,
529,,74_4_001_1,-2.2777354275446586,-2.593019378492228,,,,,,,
540,,180_4_100_1,0.9077244283603771,,-0.827629101212673,,,,,,
541,,180_4_110_1,,,,,,0.8259819183804896,,0.2782966370791187,
543,,180_4_101_1,,0.7099775138228849,,-0.5752168734258256,,,0.2280524622008349,,0.694386121808036
544,,180_4_001_1,,,,,0.6109730719629546,,,,
565,,100_1_100_1,0.5602197168071005,,-0.9354954532664573,,,,,,
566,,100_1_110_1,,,,,,0.07856901174838803,,0.749919789552135,
568,,100_1_101_1,,0.6365775828825491,,-0.19251209876751413,,,-1.5822608975377512,,0.058622371757872174
569,,100_1_001_1,,,,,0.6631524492268714,,,,
575,,278_14_100_1,,0.8567773757035566,,-0.3838644860966699,-0.7978701141628023,,,,
577,,278_14_111_1,0.44438481295600823,,0.3589007713789555,,,,-1.2589906547272895,,-1.0766700390459918
578,,278_14_101_1,,,,,,0.04297792095638319,,-0.7935741639959182,
580,,148_4_100_1,,,,,,,-1.2913176790083356,,-1.3491402176389193
581,,148_4_110_1,-2.451487783321297,-2.5196194475518925,,,,,,,
582,,148_4_111_1,,,,-0.5114327443161071,,,,,
583,,148_4_101_1,,,,,-1.1631257550102208,,,,
584,,148_4_001_1,,,-1.2590945094278105,,,0.8615730091724945,,-0.5363251717379093,
585,,108_3_100_1,,0.23287796271070188,,0.7004657087685461,-0.6935113596349685,,,,
587,,108_3_111_1,-0.36645951400163723,,-0.39616369299753534,,,,0.09874436507665016,,-1.3945519140710738
588,,108_3_101_1,,,,,,-0.8112082580517329,,-0.49345033969490787,
600,,116_15_100_1,,,,,,,,0.4926707972941261,
601,,116_15_110_1,,,,-0.3838644860966699,,,1.0362280692269894,,-0.440906288995828
602,,116_15_111_1,,,,,-0.17171758699579923,-0.9535726212197523,,,
603,,116_15_101_1,,,-1.3130276854547027,,,,,,
604,,116_15_001_1,-1.1773038409592826,-0.13412169199097737,,,,,,,
610,,267_15_100_1,,,,,,-1.238301347555791,,,
611,,267_15_110_1,,,0.3589007713789555,,-0.48479385057930074,,,,
612,,267_15_111_1,,0.5631776519422131,,,,,,0.23542180503611726,
613,,267_15_101_1,0.44438481295600823,,,,,,,,
614,,267_15_001_1,,,,0.1264085467810788,,,0.3573605593250196,,0.8760329075366543
620,,221_7_100_1,,,,,,,-1.1943366061651972,,1.3755615682903546
621,,221_7_110_1,0.21271500525382384,0.19617799724053395,,,,,,,
622,,221_7_111_1,,,,-0.3838644860966699,,,,,
623,,221_7_101_1,,,,,-0.17171758699579923,,,,
624,,221_7_001_1,,,1.4914974679436916,,,0.6124353736284606,,0.4926707972941261,
630,,45_14_100_1,1.1973116879881076,,0.3589007713789555,,,,,,
631,,45_14_110_1,,,,,,1.2886660986765526,,-0.2790761794799005,
633,,45_14_101_1,,0.2695779281808698,,0.19019267589079739,,,0.45434163216815815,,0.694386121808036
634,,45_14_001_1,,,,,1.0284080900742898,,,,
635,,226_6_100_1,2.1819083707223914,,1.1678984117823386,,,,,,
636,,226_6_110_1,,,,,,1.85812355134863,,0.8356694536381379,
638,,226_6_101_1,,0.9301773066438924,,0.4453291923296717,,,0.3573605593250196,,1.103091389697427
639,,226_6_001_1,,,,,0.4544349401712038,,,,
665,,296_8_100_1,,,,,,,,0.749919789552135,
666,,296_8_110_1,,,,-0.5752168734258256,,,-1.4852798246946128,,-1.7124337890961558
667,,296_8_111_1,,,,,-1.580560773121556,,,,
668,,296_8_101_1,,,-0.34223051697064316,,,,,,
669,,296_8_001_1,-2.3356528794702047,-1.6021203107976945,,,,,,,
680,,17_9_100_1,,,,,,-1.45184789230782,,,
681,,17_9_110_1,,,0.3589007713789555,,-0.7978701141628023,,,,
682,,17_9_111_1,,-0.13412169199097737,,,,,,-1.9940694611999596,
683,,17_9_101_1,0.7918895245092848,,,,,,,,
684,,17_9_001_1,,,,-0.19251209876751413,,,-1.4529528004135666,,-1.7578454855283103
690,,129_5_100_1,,,,,,,,1.0500436138531453,
691,,129_5_110_1,,,,0.5728974505491089,,,0.034090316514557795,,-0.8950232533173736
692,,129_5_111_1,,,,,-0.5369732278432177,1.2530750078845476,,,
693,,129_5_101_1,,,0.790366179594093,,,,,,
694,,129_5_001_1,0.38646736103046214,-0.24422158840148117,,,,,,,
695,,29_12_100_1,,-1.1250207596855113,,-0.3838644860966699,0.9240493355464561,,,,
697,,29_12_111_1,-0.5402118697782755,,-0.6118963971051041,,,,1.165536166351174,,-1.2583168247746102
698,,29_12_101_1,,,,,,-0.9891637120117571,,0.19254697299311577,
710,,71_7_100_1,,,,,,0.07856901174838803,,,
711,,71_7_110_1,,,-0.7736959251857808,,1.1849462218660407,,,,
712,,71_7_111_1,,0.6365775828825491,,,,,,-0.4505755076519064,
713,,71_7_101_1,1.3131465918391998,,,,,,,,
714,,71_7_001_1,,,,-0.19251209876751413,,,1.1978631906322204,,0.5127393360794178
730,,89_2_100_1,,,,,,-0.6332528040917087,,,
731,,89_2_110_1,,,-0.6658295731319964,,-0.6413319823710515,,,,
732,,89_2_111_1,,0.4163777900615415,,,,,,0.4926707972941261,
733,,89_2_101_1,0.15479755332827774,,,,,,,,
734,,89_2_001_1,,,,0.19019267589079739,,,0.45434163216815815,,0.8306212111044997
765,,128_5_100_1,,,,,,,1.1978631906322204,,1.7388551397475909
766,,128_5_110_1,0.44438481295600823,1.0035772375842282,,,,,,,
767,,128_5_111_1,,,,0.9556022252074204,,,,,
768,,128_5_101_1,,,,,0.6109730719629546,,,,
769,,128_5_001_1,,,1.1139652357554464,,,1.85812355134863,,0.8785442856811394,
815,,186_2_100_1,,0.8567773757035566,,0.8918180960977018,1.7589193717691267,,,,
817,,186_2_111_1,0.849806976434831,,0.3589007713789555,,,,0.5836497292923429,,0.8306212111044997
818,,186_2_101_1,,,,,,0.47007101046044125,,1.0929184458961467,
820,,208_12_100_1,,,,,,,1.3594983120374513,,1.8296785326119
821,,208_12_110_1,0.038962649477185515,-0.4644213812224887,,,,,,,
822,,208_12_111_1,,,,0.253976805000516,,,,,
823,,208_12_101_1,,,,,-0.5891526051071346,,,,
824,,208_12_001_1,,,-0.9894286292933496,,,1.85812355134863,,-0.5792000037809109,
835,,2_4_100_1,,-0.06072176105064153,,-0.5114327443161071,-0.7456907368988853,,,,
837,,2_4_111_1,-1.4668911005870133,,-1.2590945094278105,,,,-0.806412314792643,,-0.75878816402091
838,,2_4_101_1,,,,,,-1.1671191659717812,,-0.236201347436899,
905,,219_10_100_1,,,,,,,,0.4926707972941261,
906,,219_10_110_1,,,,-0.2562962278772327,,,0.1957254379197887,,0.6489744253758815
907,,219_10_111_1,,,,,0.03699992205986845,-0.45529735013168454,,,
908,,219_10_101_1,,,0.7364330035672009,,,,,,
909,,219_10_001_1,-0.250624610150545,-0.09742172652080947,,,,,,,
955,,80_9_100_1,0.6760546206581927,,2.5162278124546433,,,,,,
956,,80_9_110_1,,,,,,1.3598482802605623,,0.44979596525112464,
958,,80_9_101_1,,0.7099775138228849,,0.8280339669879833,,,0.06641734079560398,,-0.6225530747244462
959,,80_9_001_1,,,,,-0.954408245954553,,,,
975,,12_13_100_1,,,,,,-1.0603458935957668,,,
976,,12_13_110_1,,,0.3589007713789555,,-1.0587670004823868,,,,
977,,12_13_111_1,,-0.2809215538716491,,,,,,0.36404630116512166,
978,,12_13_101_1,-0.5402118697782755,,,,,,,,
979,,12_13_001_1,,,,-0.5752168734258256,,,-0.5477961205442735,,-0.25925950326720976
1020,,271_14_100_1,,,,,,,-0.25685290201485783,,-0.9404349497495282
1021,,271_14_110_1,-0.250624610150545,-1.6021203107976945,,,,,,,
1022,,271_14_111_1,,,,-0.4476486152063885,,,,,
1023,,271_14_101_1,,,,,-0.9022288686906361,,,,
1024,,271_14_001_1,,,-1.4748272135353795,,,0.07856901174838803,,-1.7368204689419506,
1025,,79_8_100_1,0.7918895245092848,,-0.12649781286307435,,,,,,
1026,,79_8_110_1,,,,,,0.007386830164378353,,-1.7368204689419506,
1028,,79_8_101_1,,-1.3452205525065188,,-0.7665692607549814,,,0.7129578264165276,,-0.75878816402091
1029,,79_8_001_1,,,,,-0.7456907368988853,,,,
1055,,291_8_100_1,,0.6365775828825491,,0.9556022252074204,0.4544349401712038,,,,
1057,,291_8_111_1,-0.8297991294060061,,0.46676712343273985,,,,-0.9680474361978738,,-0.9404349497495282
1058,,291_8_101_1,,,,,,0.8971640999644993,,1.2644177740681526,
1121,,245_3_110_1,,,-0.5040300450513198,,-1.4762020185937221,,,,
1122,,245_3_111_1,,-2.409519551141389,,,,,,-1.5653211407699448,
1123,,245_3_101_1,-0.4822944178527294,,,,,,,,
1124,,245_3_001_1,,,,-3.2541502960340063,,,-1.8085500675050745,,-1.6670220926640011
1190,,44_12_100_1,,,,,,0.4344799196684364,,,
1191,,44_12_110_1,,,0.41283394740584767,,-0.43261447331538383,,,,
1192,,44_12_111_1,,0.37967782459137356,,,,,,-0.6220748358239123,
1193,,44_12_101_1,-0.5402118697782755,,,,,,,,
1194,,44_12_001_1,,,,1.5934435163046063,,,1.0685550935080357,,-0.3500828961315189
1200,,197_7_100_1,-0.8877165813315522,,1.329697939863015,,,,,,
1201,,197_7_110_1,,,,,,-0.5264795317156943,,-2.3370681175439714,
1203,,197_7_101_1,,0.5631776519422131,,0.7642498378782647,,,0.09874436507665016,,1.1485030861295817
1204,,197_7_001_1,,,,,-0.48479385057930074,,,,
1315,,157_9_100_1,,,,,,,,0.10679730890711282,
1316,,157_9_110_1,,,,-0.6390010025355443,,,-1.2913176790083356,,-1.167493431910301
1317,,157_9_111_1,,,,,-1.0587670004823868,-0.7044349856757184,,,
1318,,157_9_101_1,,,-0.34223051697064316,,,,,,
1319,,157_9_001_1,0.15479755332827774,-1.6388202762678623,,,,,,,
1320,,199_9_100_1,,,,,,,0.3250335350439734,,0.8306212111044997
1321,,199_9_110_1,-1.4668911005870133,-2.336119620201053,,,,,,,
1322,,199_9_111_1,,,,-2.4887407467173834,,,,,
1323,,199_9_101_1,,,,,-1.6849195276493898,,,,
1324,,199_9_001_1,,,-1.4748272135353795,,,-1.0603458935957668,,-2.0798191252859626,
1390,,165_10_100_1,0.7339720725837388,,0.08923489124449445,,,,,,
1391,,165_10_110_1,,,,,,-1.0603458935957668,,1.1357932779391482,
1393,,165_10_101_1,,-0.6479212085733284,,1.2107387416462947,,,-1.7762230432240285,,0.8760329075366543
1394,,165_10_001_1,,,,,-0.32825571878755,,,,
1430,,256_1_100_1,,,,,,,,0.664170125466132,
1431,,256_1_110_1,,,,-0.3200803569869513,,,-0.19219885345276547,,0.694386121808036
1432,,256_1_111_1,,,,,0.7675112037547053,0.07856901174838803,,,
1433,,256_1_101_1,,,0.3589007713789555,,,,,,
1434,,256_1_001_1,-0.30854206207609114,0.2695779281808698,,,,,,,
