,0 face,1 face,2 faces,3 faces,4+ faces
14_15,70.0,30.0,0.0,0.0,0.0
150_15,55.6,37.0,7.4,0.0,0.0
151_13,20.9,69.8,9.3,0.0,0.0
152_10,41.7,58.3,0.0,0.0,0.0
153_11,93.1,6.9,0.0,0.0,0.0
154_1,100.0,0.0,0.0,0.0,0.0
155_6,82.2,17.8,0.0,0.0,0.0
156_11,41.7,41.7,16.7,0.0,0.0
157_9,56.9,38.5,4.6,0.0,0.0
158_2,100.0,0.0,0.0,0.0,0.0
159_12,97.6,2.4,0.0,0.0,0.0
15_13,8.8,38.2,52.9,0.0,0.0
160_9,66.0,32.1,1.9,0.0,0.0
161_3,63.0,37.0,0.0,0.0,0.0
162_6,92.5,6.7,0.8,0.0,0.0
163_4,27.3,38.6,27.3,6.8,0.0
164_3,79.4,17.5,3.2,0.0,0.0
165_10,80.6,19.4,0.0,0.0,0.0
166_13,76.5,23.5,0.0,0.0,0.0
167_4,4.2,88.7,7.0,0.0,0.0
168_2,79.4,20.6,0.0,0.0,0.0
169_13,11.3,83.1,4.2,1.4,0.0
16_15,36.4,63.6,0.0,0.0,0.0
170_13,21.7,20.0,31.7,26.7,0.0
171_11,50.0,50.0,0.0,0.0,0.0
172_10,61.9,38.1,0.0,0.0,0.0
173_1,66.7,33.3,0.0,0.0,0.0
174_9,81.2,18.8,0.0,0.0,0.0
175_2,96.9,3.1,0.0,0.0,0.0
176_3,64.7,29.4,5.9,0.0,0.0
177_13,48.2,28.6,8.9,10.7,3.6
178_11,55.6,33.3,11.1,0.0,0.0
179_6,74.5,25.5,0.0,0.0,0.0
17_9,66.7,33.3,0.0,0.0,0.0
180_4,36.4,36.4,11.4,9.1,6.8
181_13,51.1,48.9,0.0,0.0,0.0
182_7,88.9,11.1,0.0,0.0,0.0
183_11,91.2,8.8,0.0,0.0,0.0
184_15,48.8,36.6,14.6,0.0,0.0
185_10,30.7,69.3,0.0,0.0,0.0
186_2,97.1,2.9,0.0,0.0,0.0
187_11,64.3,32.1,3.6,0.0,0.0
188_12,97.6,2.4,0.0,0.0,0.0
189_9,75.7,20.4,3.9,0.0,0.0
18_6,72.1,16.2,2.9,5.9,2.9
190_10,44.4,55.6,0.0,0.0,0.0
191_4,74.2,24.7,1.1,0.0,0.0
192_4,63.3,20.0,10.0,6.7,0.0
193_9,63.0,30.1,2.7,0.0,4.1
194_9,44.2,55.8,0.0,0.0,0.0
195_15,100.0,0.0,0.0,0.0,0.0
196_5,99.0,1.0,0.0,0.0,0.0
197_7,58.5,41.5,0.0,0.0,0.0
198_9,72.0,28.0,0.0,0.0,0.0
199_9,32.6,45.7,13.0,6.5,2.2
19_13,12.0,26.0,58.0,4.0,0.0
1_13,14.3,85.7,0.0,0.0,0.0
200_4,30.2,66.0,3.8,0.0,0.0
201_10,82.1,17.9,0.0,0.0,0.0
202_9,70.4,22.2,7.4,0.0,0.0
203_2,82.6,17.4,0.0,0.0,0.0
204_2,100.0,0.0,0.0,0.0,0.0
205_9,83.9,16.1,0.0,0.0,0.0
206_8,39.2,7.8,9.8,11.8,31.4
207_12,96.0,4.0,0.0,0.0,0.0
208_12,78.8,15.2,6.1,0.0,0.0
209_1,100.0,0.0,0.0,0.0,0.0
20_1,96.1,3.9,0.0,0.0,0.0
210_3,50.8,45.9,3.3,0.0,0.0
211_15,87.2,12.8,0.0,0.0,0.0
212_6,52.8,47.2,0.0,0.0,0.0
213_15,70.8,29.2,0.0,0.0,0.0
214_14,100.0,0.0,0.0,0.0,0.0
215_13,24.2,42.4,33.3,0.0,0.0
216_2,100.0,0.0,0.0,0.0,0.0
217_2,85.0,15.0,0.0,0.0,0.0
218_10,32.0,64.0,4.0,0.0,0.0
219_10,63.6,36.4,0.0,0.0,0.0
21_15,90.9,9.1,0.0,0.0,0.0
220_2,100.0,0.0,0.0,0.0,0.0
221_7,60.5,37.7,1.8,0.0,0.0
222_15,96.0,4.0,0.0,0.0,0.0
223_11,61.2,34.7,4.1,0.0,0.0
224_15,100.0,0.0,0.0,0.0,0.0
225_11,21.7,78.3,0.0,0.0,0.0
226_6,95.5,3.4,1.1,0.0,0.0
227_3,35.7,64.3,0.0,0.0,0.0
228_9,62.9,25.7,2.9,8.6,0.0
229_1,44.4,55.6,0.0,0.0,0.0
22_3,35.8,64.2,0.0,0.0,0.0
230_4,59.6,21.2,9.6,9.6,0.0
231_13,15.8,71.1,10.5,2.6,0.0
232_13,70.5,29.5,0.0,0.0,0.0
233_13,37.5,27.1,14.6,18.8,2.1
234_8,71.4,28.6,0.0,0.0,0.0
235_1,91.2,8.8,0.0,0.0,0.0
236_15,82.0,18.0,0.0,0.0,0.0
237_14,85.0,15.0,0.0,0.0,0.0
238_13,61.7,27.7,8.5,2.1,0.0
239_6,96.3,3.7,0.0,0.0,0.0
23_9,28.8,65.4,5.8,0.0,0.0
240_13,3.8,55.8,40.4,0.0,0.0
241_14,100.0,0.0,0.0,0.0,0.0
242_14,91.7,8.3,0.0,0.0,0.0
243_5,41.7,43.8,14.6,0.0,0.0
244_11,100.0,0.0,0.0,0.0,0.0
245_3,14.0,86.0,0.0,0.0,0.0
246_14,100.0,0.0,0.0,0.0,0.0
247_15,100.0,0.0,0.0,0.0,0.0
248_2,65.7,34.3,0.0,0.0,0.0
249_15,100.0,0.0,0.0,0.0,0.0
24_4,57.4,42.6,0.0,0.0,0.0
250_2,89.5,10.5,0.0,0.0,0.0
251_2,92.3,7.7,0.0,0.0,0.0
252_11,39.5,58.1,2.3,0.0,0.0
253_11,41.0,56.4,2.6,0.0,0.0
254_12,55.6,40.7,3.7,0.0,0.0
255_10,6.8,93.2,0.0,0.0,0.0
256_1,61.9,36.5,1.6,0.0,0.0
257_8,93.2,6.8,0.0,0.0,0.0
258_10,43.5,56.5,0.0,0.0,0.0
259_15,65.9,34.1,0.0,0.0,0.0
25_13,5.6,50.0,44.4,0.0,0.0
260_2,78.9,21.1,0.0,0.0,0.0
261_6,85.7,14.3,0.0,0.0,0.0
262_11,83.0,14.9,2.1,0.0,0.0
263_10,76.9,23.1,0.0,0.0,0.0
264_2,100.0,0.0,0.0,0.0,0.0
265_15,64.1,31.2,1.6,3.1,0.0
266_2,85.5,14.5,0.0,0.0,0.0
267_15,28.1,18.8,0.0,0.0,53.1
268_4,56.5,43.5,0.0,0.0,0.0
269_11,88.5,11.5,0.0,0.0,0.0
26_15,95.0,5.0,0.0,0.0,0.0
270_13,19.2,17.9,55.1,7.7,0.0
271_14,100.0,0.0,0.0,0.0,0.0
272_11,35.5,48.4,16.1,0.0,0.0
273_6,84.4,13.3,2.2,0.0,0.0
274_9,100.0,0.0,0.0,0.0,0.0
275_5,93.9,6.1,0.0,0.0,0.0
276_11,7.4,85.2,7.4,0.0,0.0
277_2,92.9,7.1,0.0,0.0,0.0
278_14,69.0,31.0,0.0,0.0,0.0
279_11,87.2,12.8,0.0,0.0,0.0
27_14,84.2,15.8,0.0,0.0,0.0
280_11,77.8,22.2,0.0,0.0,0.0
281_13,7.7,21.2,71.2,0.0,0.0
282_6,86.4,13.6,0.0,0.0,0.0
283_14,97.3,2.7,0.0,0.0,0.0
284_6,100.0,0.0,0.0,0.0,0.0
285_2,100.0,0.0,0.0,0.0,0.0
286_14,93.3,6.7,0.0,0.0,0.0
287_8,100.0,0.0,0.0,0.0,0.0
288_13,51.4,34.7,13.9,0.0,0.0
289_14,88.9,11.1,0.0,0.0,0.0
28_2,66.0,19.1,14.9,0.0,0.0
290_2,96.3,3.7,0.0,0.0,0.0
291_8,87.5,12.5,0.0,0.0,0.0
292_1,93.0,7.0,0.0,0.0,0.0
293_6,90.4,9.6,0.0,0.0,0.0
294_13,66.2,33.8,0.0,0.0,0.0
295_15,84.4,15.6,0.0,0.0,0.0
296_8,100.0,0.0,0.0,0.0,0.0
297_3,60.0,40.0,0.0,0.0,0.0
298_13,9.5,21.4,57.1,9.5,2.4
299_6,73.6,26.4,0.0,0.0,0.0
29_12,66.0,32.0,2.0,0.0,0.0
2_4,80.8,19.2,0.0,0.0,0.0
300_7,56.4,43.6,0.0,0.0,0.0
30_11,59.7,40.3,0.0,0.0,0.0
31_14,34.0,51.1,14.9,0.0,0.0
32_13,33.3,66.7,0.0,0.0,0.0
33_11,92.6,7.4,0.0,0.0,0.0
34_3,10.8,81.1,8.1,0.0,0.0
35_10,40.5,59.5,0.0,0.0,0.0
36_10,50.0,50.0,0.0,0.0,0.0
37_11,2.4,95.2,2.4,0.0,0.0
38_4,15.2,72.7,12.1,0.0,0.0
39_1,94.8,5.2,0.0,0.0,0.0
3_5,85.7,14.3,0.0,0.0,0.0
40_13,32.0,60.0,8.0,0.0,0.0
41_2,75.0,25.0,0.0,0.0,0.0
42_13,17.3,42.3,40.4,0.0,0.0
43_11,46.9,21.9,31.2,0.0,0.0
44_12,100.0,0.0,0.0,0.0,0.0
45_14,83.9,16.1,0.0,0.0,0.0
46_9,100.0,0.0,0.0,0.0,0.0
47_3,52.6,47.4,0.0,0.0,0.0
48_13,33.3,66.7,0.0,0.0,0.0
49_7,84.0,16.0,0.0,0.0,0.0
4_13,54.8,45.2,0.0,0.0,0.0
50_10,93.8,6.2,0.0,0.0,0.0
51_5,98.7,1.3,0.0,0.0,0.0
52_11,29.1,60.0,10.9,0.0,0.0
53_13,63.0,37.0,0.0,0.0,0.0
54_2,94.6,5.4,0.0,0.0,0.0
55_13,25.0,47.2,27.8,0.0,0.0
56_11,85.5,13.3,1.2,0.0,0.0
57_6,100.0,0.0,0.0,0.0,0.0
58_6,88.2,11.8,0.0,0.0,0.0
59_2,100.0,0.0,0.0,0.0,0.0
5_11,5.7,57.1,37.1,0.0,0.0
60_3,93.1,3.4,3.4,0.0,0.0
61_4,25.9,51.7,13.8,8.6,0.0
62_8,85.7,12.2,2.0,0.0,0.0
63_2,86.7,13.3,0.0,0.0,0.0
64_10,68.0,32.0,0.0,0.0,0.0
65_11,94.9,5.1,0.0,0.0,0.0
66_9,100.0,0.0,0.0,0.0,0.0
67_3,67.7,16.1,16.1,0.0,0.0
68_3,62.8,33.7,3.5,0.0,0.0
69_2,55.6,44.4,0.0,0.0,0.0
6_3,67.9,21.4,10.7,0.0,0.0
70_15,83.9,16.1,0.0,0.0,0.0
71_7,69.7,27.3,3.0,0.0,0.0
72_2,100.0,0.0,0.0,0.0,0.0
73_6,100.0,0.0,0.0,0.0,0.0
74_4,45.5,54.5,0.0,0.0,0.0
75_6,100.0,0.0,0.0,0.0,0.0
76_11,91.7,8.3,0.0,0.0,0.0
77_11,68.1,26.1,5.8,0.0,0.0
78_9,95.4,4.6,0.0,0.0,0.0
79_8,36.4,63.6,0.0,0.0,0.0
7_1,55.3,44.7,0.0,0.0,0.0
80_9,100.0,0.0,0.0,0.0,0.0
81_15,83.6,16.4,0.0,0.0,0.0
82_11,85.7,14.3,0.0,0.0,0.0
83_14,79.4,20.6,0.0,0.0,0.0
84_4,52.2,47.8,0.0,0.0,0.0
85_6,21.7,60.9,13.0,4.3,0.0
86_14,100.0,0.0,0.0,0.0,0.0
87_2,100.0,0.0,0.0,0.0,0.0
88_11,10.7,35.7,53.6,0.0,0.0
89_2,100.0,0.0,0.0,0.0,0.0
8_3,100.0,0.0,0.0,0.0,0.0
90_15,88.9,0.0,5.6,5.6,0.0
91_14,100.0,0.0,0.0,0.0,0.0
92_4,28.8,57.7,3.8,9.6,0.0
93_8,75.5,24.5,0.0,0.0,0.0
94_2,100.0,0.0,0.0,0.0,0.0
95_14,68.4,31.6,0.0,0.0,0.0
96_6,85.4,9.8,2.4,2.4,0.0
97_6,76.1,19.7,4.2,0.0,0.0
98_13,33.3,51.5,15.2,0.0,0.0
99_11,100.0,0.0,0.0,0.0,0.0
9_1,52.1,43.8,4.1,0.0,0.0
